Nest,FirstFound,LastPresent,LastChecked,Fate,Freq,Init,AgeDay1,Year,Site,Win_Hi,Win_Lo,Spr_Hi,Spr_Lo,wxt,sxt,wxw,sxw
ADS001,1,27,27,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1
ADS002,3,26,26,0,1,143,0,1994,kig,46,50,9,0,14,1,7,1
ADS003,4,27,27,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1
ADS004,4,20,20,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1
ADS008,5,27,27,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1
ADS014,8,24,24,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1
ADS017,8,29,29,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1
ADS022,8,30,30,0,1,148,-5,1994,kig,46,50,9,0,14,1,7,1
ADS030,13,34,34,0,1,147,-4,1994,kig,46,50,9,0,14,1,7,1
ADS031,14,36,36,0,1,151,-8,1994,kig,46,50,9,0,14,1,7,1
ADS032,4,31,31,0,1,148,-5,1994,kig,46,50,9,0,14,1,7,1
ADS036,15,31,31,0,1,139,4,1994,kig,46,50,9,0,14,1,7,1
ADS037,15,31,31,0,1,146,-3,1994,kig,46,50,9,0,14,1,7,1
KSB001,16,27,27,0,1,140,3,1994,kig,46,50,9,0,14,1,7,1
KSB002,16,30,30,0,1,140,3,1994,kig,46,50,9,0,14,1,7,1
KSB005,18,36,36,0,1,154,-11,1994,kig,46,50,9,0,14,1,7,1
KSB006,18,29,29,0,1,147,-4,1994,kig,46,50,9,0,14,1,7,1
KSB011,26,32,32,0,1,147,-4,1994,kig,46,50,9,0,14,1,7,1
KSB014,27,39,39,0,1,151,-8,1994,kig,46,50,9,0,14,1,7,1
KSB017,29,32,32,0,1,150,-7,1994,kig,46,50,9,0,14,1,7,1
TDB002,24,47,47,0,1,155,-12,1994,kig,46,50,9,0,14,1,7,1
TLM004,1,24,24,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1
TLM007,2,26,26,0,1,142,1,1994,kig,46,50,9,0,14,1,7,1
TLM012,3,24,24,0,1,140,3,1994,kig,46,50,9,0,14,1,7,1
TLM014,3,28,28,0,1,143,0,1994,kig,46,50,9,0,14,1,7,1
TLM016,4,27,27,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1
TLM017,4,25,25,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1
TLM021,6,28,28,0,1,143,0,1994,kig,46,50,9,0,14,1,7,1
TLM023,6,29,29,0,1,143,0,1994,kig,46,50,9,0,14,1,7,1
TLM026,6,18,18,0,1,140,3,1994,kig,46,50,9,0,14,1,7,1
TLM029,7,31,31,0,1,147,-4,1994,kig,46,50,9,0,14,1,7,1
TLM031,8,30,30,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1
TLM033,8,24,24,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1
TLM042,8,28,28,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1
TLM043,8,30,30,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1
TLM045,9,20,20,0,1,133,10,1994,kig,46,50,9,0,14,1,7,1
TLM047,9,27,27,0,1,143,0,1994,kig,46,50,9,0,14,1,7,1
TLM051,10,23,23,0,1,144,-1,1994,kig,46,50,9,0,14,1,7,1
TLM052,11,34,34,0,1,151,-8,1994,kig,46,50,9,0,14,1,7,1
TLM053,11,25,25,0,1,142,1,1994,kig,46,50,9,0,14,1,7,1
TLM067,12,33,33,0,1,152,-9,1994,kig,46,50,9,0,14,1,7,1
TLM070,12,25,25,0,1,146,-3,1994,kig,46,50,9,0,14,1,7,1
TLM071,13,29,29,0,1,147,-4,1994,kig,46,50,9,0,14,1,7,1
TLM073,13,24,24,0,1,150,-7,1994,kig,46,50,9,0,14,1,7,1
TLM074,13,29,29,0,1,144,-1,1994,kig,46,50,9,0,14,1,7,1
TLM075,14,26,26,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1
TLM078,14,29,29,0,1,148,-5,1994,kig,46,50,9,0,14,1,7,1
TLM079,16,29,29,0,1,150,-7,1994,kig,46,50,9,0,14,1,7,1
TLM082,17,29,29,0,1,148,-5,1994,kig,46,50,9,0,14,1,7,1
TLM083,18,37,37,0,1,155,-12,1994,kig,46,50,9,0,14,1,7,1
TLM087,18,24,24,0,1,142,1,1994,kig,46,50,9,0,14,1,7,1
TLM088,19,33,33,0,1,148,-5,1994,kig,46,50,9,0,14,1,7,1
TLM091,19,21,21,0,1,138,5,1994,kig,46,50,9,0,14,1,7,1
TLM094,20,26,26,0,1,144,-1,1994,kig,46,50,9,0,14,1,7,1
TLM096,25,33,33,0,1,149,-6,1994,kig,46,50,9,0,14,1,7,1
TLM097,26,28,28,0,1,146,-3,1994,kig,46,50,9,0,14,1,7,1
ADS010,5,25,27,1,1,142,1,1994,kig,46,50,9,0,14,1,7,1
ADS027,13,13,23,1,1,153,-10,1994,kig,46,50,9,0,14,1,7,1
ADS028,13,13,23,1,1,150,-7,1994,kig,46,50,9,0,14,1,7,1
ADS029,13,23,33,1,1,150,-7,1994,kig,46,50,9,0,14,1,7,1
ADS035,15,32,36,1,1,152,-9,1994,kig,46,50,9,0,14,1,7,1
ADS040,16,31,36,1,1,147,-4,1994,kig,46,50,9,0,14,1,7,1
ADS044,20,20,26,1,1,144,-1,1994,kig,46,50,9,0,14,1,7,1
ADS046,24,31,33,1,1,158,-15,1994,kig,46,50,9,0,14,1,7,1
KSB009,25,32,33,1,1,149,-6,1994,kig,46,50,9,0,14,1,7,1
TDB001,21,31,37,1,1,155,-12,1994,kig,46,50,9,0,14,1,7,1
TDB003,24,34,36,1,1,155,-12,1994,kig,46,50,9,0,14,1,7,1
TLM003,1,1,11,1,1,141,2,1994,kig,46,50,9,0,14,1,7,1
TLM006,2,2,12,1,1,142,1,1994,kig,46,50,9,0,14,1,7,1
TLM019,6,26,29,1,1,146,-3,1994,kig,46,50,9,0,14,1,7,1
TLM028,7,7,24,1,1,141,2,1994,kig,46,50,9,0,14,1,7,1
TLM032,8,8,18,1,1,142,1,1994,kig,46,50,9,0,14,1,7,1
TLM046,9,29,31,1,1,146,-3,1994,kig,46,50,9,0,14,1,7,1
TLM054,12,12,22,1,1,152,-9,1994,kig,46,50,9,0,14,1,7,1
TLM080,16,16,26,1,1,140,3,1994,kig,46,50,9,0,14,1,7,1
TLM099,34,36,37,1,1,156,-13,1994,kig,46,50,9,0,14,1,7,1
KSB007,19,32,32,0,1,150,-7,1994,kig,46,50,9,0,14,1,7,1
TLM001,1,24,24,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1
MRB003,1,24,24,0,1,143,2,1995,kig,46,50,8,0,13,5,9,1
MRB004,1,21,21,0,1,140,5,1995,kig,79,37,7,0,13,5,9,1
MRB007,2,22,22,0,1,144,1,1995,kig,79,37,7,0,13,5,9,1
MRB010,4,27,27,0,1,146,-1,1995,kig,79,37,7,0,13,5,9,1
MRB011,4,26,26,0,1,143,2,1995,kig,79,37,7,0,13,5,9,1
MRB012,4,25,25,0,1,146,-1,1995,kig,79,37,7,0,13,5,9,1
MRB014,5,27,27,0,1,147,-2,1995,kig,79,37,7,0,13,5,9,1
MRB016,5,23,23,0,1,141,4,1995,kig,79,37,7,0,13,5,9,1
MRB019,6,28,28,0,1,148,-3,1995,kig,79,37,7,0,13,5,9,1
MRB021,7,23,23,0,1,140,5,1995,kig,79,37,7,0,13,5,9,1
MRB025,8,21,21,0,1,141,4,1995,kig,79,37,7,0,13,5,9,1
MRB030,9,25,25,0,1,144,1,1995,kig,79,37,7,0,13,5,9,1
MRB033,9,24,24,0,1,144,1,1995,kig,79,37,7,0,13,5,9,1
MRB034,10,26,26,0,1,146,-1,1995,kig,79,37,7,0,13,5,9,1
MRB036,10,24,24,0,1,143,2,1995,kig,79,37,7,0,13,5,9,1
MRB040,10,23,23,0,1,146,-1,1995,kig,79,37,7,0,13,5,9,1
MRB041,11,25,25,0,1,147,-2,1995,kig,79,37,7,0,13,5,9,1
MRB042,11,25,25,0,1,144,1,1995,kig,79,37,7,0,13,5,9,1
MRB049,14,28,28,0,1,149,-4,1995,kig,79,37,7,0,13,5,9,1
MRB050,14,38,38,0,1,156,-11,1995,kig,79,37,7,0,13,5,9,1
MRB051,15,29,29,0,1,148,-3,1995,kig,79,37,7,0,13,5,9,1
MRB052,15,33,33,0,1,151,-6,1995,kig,79,37,7,0,13,5,9,1
MRB053,15,36,36,0,1,157,-12,1995,kig,79,37,7,0,13,5,9,1
MRB054,15,32,32,0,1,151,-6,1995,kig,79,37,7,0,13,5,9,1
MRB055,15,33,33,0,1,154,-9,1995,kig,79,37,7,0,13,5,9,1
MRB061,19,30,30,0,1,148,-3,1995,kig,79,37,7,0,13,5,9,1
MRB063,20,34,34,0,1,153,-8,1995,kig,79,37,7,0,13,5,9,1
MRB065,23,31,31,0,1,146,-1,1995,kig,79,37,7,0,13,5,9,1
MRB067,24,28,28,0,1,147,-2,1995,kig,79,37,7,0,13,5,9,1
MRB071,32,36,36,0,1,155,-10,1995,kig,79,37,7,0,13,5,9,1
TLM007,1,24,24,0,1,143,2,1995,kig,79,37,7,0,13,5,9,1
TLM018,3,24,24,0,1,142,3,1995,kig,79,37,7,0,13,5,9,1
TLM026,5,27,27,0,1,144,1,1995,kig,79,37,7,0,13,5,9,1
TLM029,5,21,21,0,1,141,4,1995,kig,79,37,7,0,13,5,9,1
TLM030,6,26,26,0,1,145,0,1995,kig,79,37,7,0,13,5,9,1
TLM031,6,19,19,0,1,142,3,1995,kig,79,37,7,0,13,5,9,1
TLM039,8,23,23,0,1,144,1,1995,kig,79,37,7,0,13,5,9,1
TLM040,8,27,27,0,1,146,-1,1995,kig,79,37,7,0,13,5,9,1
TLM043,9,23,23,0,1,144,1,1995,kig,79,37,7,0,13,5,9,1
TLM044,9,24,24,0,1,145,0,1995,kig,79,37,7,0,13,5,9,1
TLM045,9,27,27,0,1,148,-3,1995,kig,79,37,7,0,13,5,9,1
TLM046,9,26,26,0,1,145,0,1995,kig,79,37,7,0,13,5,9,1
TLM048,9,26,26,0,1,145,0,1995,kig,79,37,7,0,13,5,9,1
TLM051,9,26,26,0,1,147,-2,1995,kig,79,37,7,0,13,5,9,1
TLM052,9,25,25,0,1,145,0,1995,kig,79,37,7,0,13,5,9,1
TLM056,10,31,31,0,1,152,-7,1995,kig,79,37,7,0,13,5,9,1
TLM057,10,26,26,0,1,144,1,1995,kig,79,37,7,0,13,5,9,1
TLM058,10,21,21,0,1,139,6,1995,kig,79,37,7,0,13,5,9,1
TLM059,10,30,30,0,1,152,-7,1995,kig,79,37,7,0,13,5,9,1
TLM060,10,24,24,0,1,143,2,1995,kig,79,37,7,0,13,5,9,1
TLM061,10,25,25,0,1,143,2,1995,kig,79,37,7,0,13,5,9,1
TLM062,11,35,35,0,1,153,-8,1995,kig,79,37,7,0,13,5,9,1
TLM064,11,25,25,0,1,144,1,1995,kig,79,37,7,0,13,5,9,1
TLM065,11,30,30,0,1,152,-7,1995,kig,79,37,7,0,13,5,9,1
TLM067,11,31,31,0,1,152,-7,1995,kig,79,37,7,0,13,5,9,1
TLM069,11,28,28,0,1,144,1,1995,kig,79,37,7,0,13,5,9,1
TLM071,12,28,28,0,1,148,-3,1995,kig,79,37,7,0,13,5,9,1
TLM072,12,32,32,0,1,154,-9,1995,kig,79,37,7,0,13,5,9,1
TLM073,13,33,33,0,1,155,-10,1995,kig,79,37,7,0,13,5,9,1
