"","Nest","FirstFound","LastPresent","LastChecked","Fate","Freq","Init","AgeDay1","Year","Site","Win_Hi","Win_Lo","Spr_Hi","Spr_Lo","wxt","sxt","wxw","sxw","fox"
"1","ADS001",1,27,27,0,1,141,2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"2","ADS002",3,26,26,0,1,143,0,1994,"kig",46,50,9,0,14,1,7,1,0.16
"3","ADS003",4,27,27,0,1,141,2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"4","ADS004",4,20,20,0,1,141,2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"5","ADS008",5,27,27,0,1,145,-2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"6","ADS014",8,24,24,0,1,145,-2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"7","ADS017",8,29,29,0,1,145,-2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"8","ADS022",8,30,30,0,1,148,-5,1994,"kig",46,50,9,0,14,1,7,1,0.16
"9","ADS030",13,34,34,0,1,147,-4,1994,"kig",46,50,9,0,14,1,7,1,0.16
"10","ADS031",14,36,36,0,1,151,-8,1994,"kig",46,50,9,0,14,1,7,1,0.16
"11","ADS032",4,31,31,0,1,148,-5,1994,"kig",46,50,9,0,14,1,7,1,0.16
"12","ADS036",15,31,31,0,1,139,4,1994,"kig",46,50,9,0,14,1,7,1,0.16
"13","ADS037",15,31,31,0,1,146,-3,1994,"kig",46,50,9,0,14,1,7,1,0.16
"14","KSB001",16,27,27,0,1,140,3,1994,"kig",46,50,9,0,14,1,7,1,0.16
"15","KSB002",16,30,30,0,1,140,3,1994,"kig",46,50,9,0,14,1,7,1,0.16
"16","KSB005",18,36,36,0,1,154,-11,1994,"kig",46,50,9,0,14,1,7,1,0.16
"17","KSB006",18,29,29,0,1,147,-4,1994,"kig",46,50,9,0,14,1,7,1,0.16
"18","KSB011",26,32,32,0,1,147,-4,1994,"kig",46,50,9,0,14,1,7,1,0.16
"19","KSB014",27,39,39,0,1,151,-8,1994,"kig",46,50,9,0,14,1,7,1,0.16
"20","KSB017",29,32,32,0,1,150,-7,1994,"kig",46,50,9,0,14,1,7,1,0.16
"21","TDB002",24,47,47,0,1,155,-12,1994,"kig",46,50,9,0,14,1,7,1,0.16
"22","TLM004",1,24,24,0,1,141,2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"23","TLM007",2,26,26,0,1,142,1,1994,"kig",46,50,9,0,14,1,7,1,0.16
"24","TLM012",3,24,24,0,1,140,3,1994,"kig",46,50,9,0,14,1,7,1,0.16
"25","TLM014",3,28,28,0,1,143,0,1994,"kig",46,50,9,0,14,1,7,1,0.16
"26","TLM016",4,27,27,0,1,141,2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"27","TLM017",4,25,25,0,1,141,2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"28","TLM021",6,28,28,0,1,143,0,1994,"kig",46,50,9,0,14,1,7,1,0.16
"29","TLM023",6,29,29,0,1,143,0,1994,"kig",46,50,9,0,14,1,7,1,0.16
"30","TLM026",6,18,18,0,1,140,3,1994,"kig",46,50,9,0,14,1,7,1,0.16
"31","TLM029",7,31,31,0,1,147,-4,1994,"kig",46,50,9,0,14,1,7,1,0.16
"32","TLM031",8,30,30,0,1,145,-2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"33","TLM033",8,24,24,0,1,145,-2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"34","TLM042",8,28,28,0,1,145,-2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"35","TLM043",8,30,30,0,1,145,-2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"36","TLM045",9,20,20,0,1,133,10,1994,"kig",46,50,9,0,14,1,7,1,0.16
"37","TLM047",9,27,27,0,1,143,0,1994,"kig",46,50,9,0,14,1,7,1,0.16
"38","TLM051",10,23,23,0,1,144,-1,1994,"kig",46,50,9,0,14,1,7,1,0.16
"39","TLM052",11,34,34,0,1,151,-8,1994,"kig",46,50,9,0,14,1,7,1,0.16
"40","TLM053",11,25,25,0,1,142,1,1994,"kig",46,50,9,0,14,1,7,1,0.16
"41","TLM067",12,33,33,0,1,152,-9,1994,"kig",46,50,9,0,14,1,7,1,0.16
"42","TLM070",12,25,25,0,1,146,-3,1994,"kig",46,50,9,0,14,1,7,1,0.16
"43","TLM071",13,29,29,0,1,147,-4,1994,"kig",46,50,9,0,14,1,7,1,0.16
"44","TLM073",13,24,24,0,1,150,-7,1994,"kig",46,50,9,0,14,1,7,1,0.16
"45","TLM074",13,29,29,0,1,144,-1,1994,"kig",46,50,9,0,14,1,7,1,0.16
"46","TLM075",14,26,26,0,1,145,-2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"47","TLM078",14,29,29,0,1,148,-5,1994,"kig",46,50,9,0,14,1,7,1,0.16
"48","TLM079",16,29,29,0,1,150,-7,1994,"kig",46,50,9,0,14,1,7,1,0.16
"49","TLM082",17,29,29,0,1,148,-5,1994,"kig",46,50,9,0,14,1,7,1,0.16
"50","TLM083",18,37,37,0,1,155,-12,1994,"kig",46,50,9,0,14,1,7,1,0.16
"51","TLM087",18,24,24,0,1,142,1,1994,"kig",46,50,9,0,14,1,7,1,0.16
"52","TLM088",19,33,33,0,1,148,-5,1994,"kig",46,50,9,0,14,1,7,1,0.16
"53","TLM091",19,21,21,0,1,138,5,1994,"kig",46,50,9,0,14,1,7,1,0.16
"54","TLM094",20,26,26,0,1,144,-1,1994,"kig",46,50,9,0,14,1,7,1,0.16
"55","TLM096",25,33,33,0,1,149,-6,1994,"kig",46,50,9,0,14,1,7,1,0.16
"56","TLM097",26,28,28,0,1,146,-3,1994,"kig",46,50,9,0,14,1,7,1,0.16
"57","ADS010",5,25,27,1,1,142,1,1994,"kig",46,50,9,0,14,1,7,1,0.16
"58","ADS027",13,13,23,1,1,153,-10,1994,"kig",46,50,9,0,14,1,7,1,0.16
"59","ADS028",13,13,23,1,1,150,-7,1994,"kig",46,50,9,0,14,1,7,1,0.16
"60","ADS029",13,23,33,1,1,150,-7,1994,"kig",46,50,9,0,14,1,7,1,0.16
"61","ADS035",15,32,36,1,1,152,-9,1994,"kig",46,50,9,0,14,1,7,1,0.16
"62","ADS040",16,31,36,1,1,147,-4,1994,"kig",46,50,9,0,14,1,7,1,0.16
"63","ADS044",20,20,26,1,1,144,-1,1994,"kig",46,50,9,0,14,1,7,1,0.16
"64","ADS046",24,31,33,1,1,158,-15,1994,"kig",46,50,9,0,14,1,7,1,0.16
"65","KSB009",25,32,33,1,1,149,-6,1994,"kig",46,50,9,0,14,1,7,1,0.16
"66","TDB001",21,31,37,1,1,155,-12,1994,"kig",46,50,9,0,14,1,7,1,0.16
"67","TDB003",24,34,36,1,1,155,-12,1994,"kig",46,50,9,0,14,1,7,1,0.16
"68","TLM003",1,1,11,1,1,141,2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"69","TLM006",2,2,12,1,1,142,1,1994,"kig",46,50,9,0,14,1,7,1,0.16
"70","TLM019",6,26,29,1,1,146,-3,1994,"kig",46,50,9,0,14,1,7,1,0.16
"71","TLM028",7,7,24,1,1,141,2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"72","TLM032",8,8,18,1,1,142,1,1994,"kig",46,50,9,0,14,1,7,1,0.16
"73","TLM046",9,29,31,1,1,146,-3,1994,"kig",46,50,9,0,14,1,7,1,0.16
"74","TLM054",12,12,22,1,1,152,-9,1994,"kig",46,50,9,0,14,1,7,1,0.16
"75","TLM080",16,16,26,1,1,140,3,1994,"kig",46,50,9,0,14,1,7,1,0.16
"76","TLM099",34,36,37,1,1,156,-13,1994,"kig",46,50,9,0,14,1,7,1,0.16
"77","KSB007",19,32,32,0,1,150,-7,1994,"kig",46,50,9,0,14,1,7,1,0.16
"78","TLM001",1,24,24,0,1,141,2,1994,"kig",46,50,9,0,14,1,7,1,0.16
"79","MRB003",1,24,24,0,1,143,2,1995,"kig",46,50,8,0,13,5,9,1,0.44
"80","MRB004",1,21,21,0,1,140,5,1995,"kig",79,37,7,0,13,5,9,1,0.44
"81","MRB007",2,22,22,0,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"82","MRB010",4,27,27,0,1,146,-1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"83","MRB011",4,26,26,0,1,143,2,1995,"kig",79,37,7,0,13,5,9,1,0.44
"84","MRB012",4,25,25,0,1,146,-1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"85","MRB014",5,27,27,0,1,147,-2,1995,"kig",79,37,7,0,13,5,9,1,0.44
"86","MRB016",5,23,23,0,1,141,4,1995,"kig",79,37,7,0,13,5,9,1,0.44
"87","MRB019",6,28,28,0,1,148,-3,1995,"kig",79,37,7,0,13,5,9,1,0.44
"88","MRB021",7,23,23,0,1,140,5,1995,"kig",79,37,7,0,13,5,9,1,0.44
"89","MRB025",8,21,21,0,1,141,4,1995,"kig",79,37,7,0,13,5,9,1,0.44
"90","MRB030",9,25,25,0,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"91","MRB033",9,24,24,0,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"92","MRB034",10,26,26,0,1,146,-1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"93","MRB036",10,24,24,0,1,143,2,1995,"kig",79,37,7,0,13,5,9,1,0.44
"94","MRB040",10,23,23,0,1,146,-1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"95","MRB041",11,25,25,0,1,147,-2,1995,"kig",79,37,7,0,13,5,9,1,0.44
"96","MRB042",11,25,25,0,1,144,1,1995,"kig",79,37,7,0,13,5,9,1,0.44
"97","MRB049",14,28,28,0,1,149,-4,1995,"kig",79,37,7,0,13,5,9,1,0.44
"98","MRB050",14,38,38,0,1,156,-11,1995,"kig",79,37,7,0,13,5,9,1,0.44
"99","MRB051",15,29,29,0,1,148,-3,1995,"kig",79,37,7,0,13,5,9,1,0.44
"100","MRB052",15,33,33,0,1,151,-6,1995,"kig",79,37,7,0,13,5,9,1,0.44
