"","S","model","npar","AICc","DeltaAICc","weight","Deviance"
"7","~-1 + Site:Year","S(~-1 + Site:Year)",34,4032.74727825319,0,0.999068148733668,3964.6872
"4","~Site + Year","S(~Site + Year)",28,4046.70208836476,13.9548101115693,0.000931851266332207,3990.6611
"2","~Site + Init + NestAge","S(~Site + Init + NestAge)",4,4245.73290895447,212.985630701284,0,4237.7319
"1","~Site + Init","S(~Site + Init)",3,4248.67380535741,215.926527104227,0,4242.6732
"5","~Site + Init + Site * Init","S(~Site + Init + Site * Init)",4,4249.37610895447,216.628830701285,0,4241.3751
"3","~Site + NestAge","S(~Site + NestAge)",3,4274.84490535741,242.097627104226,0,4268.8443
"6","~Site + NestAge + Site * NestAge","S(~Site + NestAge + Site * NestAge)",4,4276.31650895447,243.569230701284,0,4268.3155
