"","S","model","npar","AICc","DeltaAICc","weight","Deviance"
"3","~sxt + sxw + Win_Hi + Win_Hi2 + Init + NestAge + Site","S.stswwhwh2ins",8,4141.65613260261,0,0.896438500656364,4125.6525
"2","~sxt + sxw + Win_Hi + Init + NestAge + Site","S.stswwhins",7,4145.97852528631,4.32239268370358,0.103258272475626,4131.9757
"5","~Win_Hi + Win_Hi2 + Init + NestAge + Site","S.whwh2ins",6,4158.04711891128,16.3909863086747,0.000247322169319313,4146.045
"4","~Win_Hi + Init + NestAge + Site","S.whins",5,4161.02121346988,19.3650808672728,5.5904480927791e-05,4151.0197
"6","~wsi + Init + NestAge + Site","S.wsiins",5,4185.93271346988,44.276580867273,2.1776251638802e-10,4175.9312
"1","~1","S.dot",1,4294.89090088781,153.234768285204,0,4292.8908
